date,location,waste_category,quantity_kg,people_count,meals_served,event_flag,previous_waste_kg,disposal_method
2025-01-01,Main Canteen,Food,62.57,956,969,false,,Composting
2025-01-01,Main Canteen,Plastic,12.22,956,969,false,,Recycling
2025-01-01,Main Canteen,Paper,8.23,956,969,false,,Recycling
2025-01-01,Main Canteen,Glass,3.18,956,969,false,,Recycling
2025-01-01,Main Canteen,Metal,2.13,956,969,false,,Recycling
2025-01-01,Main Canteen,E-Waste,0.54,956,969,false,,Authorized Recycler
2025-01-01,Main Canteen,Other,6.89,956,969,false,,Recycling
2025-01-01,Hostel A,Food,31.39,427,374,false,,Composting
2025-01-01,Hostel A,Plastic,8.09,427,374,false,,Recycling
2025-01-01,Hostel A,Paper,4.72,427,374,false,,Recycling
2025-01-01,Hostel A,Glass,2.1,427,374,false,,Recycling
2025-01-01,Hostel A,Metal,1.01,427,374,false,,Recycling
2025-01-01,Hostel A,E-Waste,0.29,427,374,false,,Authorized Recycler
2025-01-01,Hostel A,Other,3.55,427,374,false,,Recycling
2025-01-01,Hostel B,Food,31.17,418,370,false,,Composting
2025-01-01,Hostel B,Plastic,7.62,418,370,false,,Recycling
2025-01-01,Hostel B,Paper,3.74,418,370,false,,Recycling
2025-01-01,Hostel B,Glass,2.29,418,370,false,,Recycling
2025-01-01,Hostel B,Metal,1.05,418,370,false,,Recycling
2025-01-01,Hostel B,E-Waste,0.28,418,370,false,,Authorized Recycler
2025-01-01,Hostel B,Other,3.49,418,370,false,,Recycling
2025-01-01,Food Court,Food,44.49,592,596,false,,Composting
2025-01-01,Food Court,Plastic,14.95,592,596,false,,Recycling
2025-01-01,Food Court,Paper,6.8,592,596,false,,Recycling
2025-01-01,Food Court,Glass,3.79,592,596,false,,Recycling
2025-01-01,Food Court,Metal,1.53,592,596,false,,Recycling
2025-01-01,Food Court,E-Waste,0.2,592,596,false,,Authorized Recycler
2025-01-01,Food Court,Other,5.72,592,596,false,,Recycling
2025-01-01,Academic Block,Food,5.2,1225,1117,false,,Composting
2025-01-01,Academic Block,Plastic,5.44,1225,1117,false,,Recycling
2025-01-01,Academic Block,Paper,11.97,1225,1117,false,,Recycling
2025-01-01,Academic Block,Glass,0.99,1225,1117,false,,Recycling
2025-01-01,Academic Block,Metal,0.93,1225,1117,false,,Recycling
2025-01-01,Academic Block,E-Waste,1.04,1225,1117,false,,Authorized Recycler
2025-01-01,Academic Block,Other,4.84,1225,1117,false,,Recycling
2025-01-01,Administration,Food,2.64,152,135,false,,Composting
2025-01-01,Administration,Plastic,3.24,152,135,false,,Recycling
2025-01-01,Administration,Paper,9.76,152,135,false,,Recycling
2025-01-01,Administration,Glass,0.49,152,135,false,,Recycling
2025-01-01,Administration,Metal,0.9,152,135,false,,Recycling
2025-01-01,Administration,E-Waste,0.72,152,135,false,,Authorized Recycler
2025-01-01,Administration,Other,2.98,152,135,false,,Recycling
2025-01-02,Main Canteen,Food,48.23,848,747,false,,Composting
2025-01-02,Main Canteen,Plastic,11.98,848,747,false,,Recycling
2025-01-02,Main Canteen,Paper,8.75,848,747,false,,Recycling
2025-01-02,Main Canteen,Glass,3.07,848,747,false,,Recycling
2025-01-02,Main Canteen,Metal,2.2,848,747,false,,Recycling
2025-01-02,Main Canteen,E-Waste,0.46,848,747,false,,Authorized Recycler
2025-01-02,Main Canteen,Other,6.79,848,747,false,,Recycling
2025-01-02,Hostel A,Food,32.69,473,413,false,,Composting
2025-01-02,Hostel A,Plastic,9.05,473,413,false,,Recycling
2025-01-02,Hostel A,Paper,5.45,473,413,false,,Recycling
2025-01-02,Hostel A,Glass,2.17,473,413,false,,Recycling
2025-01-02,Hostel A,Metal,1.04,473,413,false,,Recycling
2025-01-02,Hostel A,E-Waste,0.26,473,413,false,,Authorized Recycler
2025-01-02,Hostel A,Other,4.03,473,413,false,,Recycling
2025-01-02,Hostel B,Food,24.39,429,427,false,,Composting
2025-01-02,Hostel B,Plastic,7.7,429,427,false,,Recycling
2025-01-02,Hostel B,Paper,4.43,429,427,false,,Recycling
2025-01-02,Hostel B,Glass,1.71,429,427,false,,Recycling
2025-01-02,Hostel B,Metal,1.05,429,427,false,,Recycling
2025-01-02,Hostel B,E-Waste,0.31,429,427,false,,Authorized Recycler
2025-01-02,Hostel B,Other,3.76,429,427,false,,Recycling
